מספר מאגר,זיהוי בעל המאגר- תאגיד,שם בעל מאגר,שם המאגר,ישוב,רחוב,בית,ת.ד.,מיקוד,שרותי דיוור,סטטוס מאגר,תאריך המאגר
990076654,0,,"מנב""ס",,,,,,,מאושר,1/5/2005
990076661,344101,מקיף מופת בסמת,"ריכוז ציונים של תלמידים חטיבה י""א",חיפה,בלפור,10,4651,3104601,,מאושר,1/5/2005
990076677,344101,מקיף מופת בסמת,ריכוז ציונים של תלמידים חטיבה י'',חיפה,בלפור,10,4651,3104601,,מאושר,1/5/2005
990076723,0,,"מנב""ס",,,,,,,מותלה חוב,NULL
990076730,580062446,"ישיבת בני עקיבא ""אהל שלמה"" קרית וולפסון",משכורות,באר שבע,,,4537,8414401,,מאושר,1/5/2005
990076746,0,,"מנב""ס",,,,,,,מאושר,1/5/2005
990076776,0,,הנהלת חשבונות וגביית תשלומים,,,,,,,מותלה חוב,NULL
990076839,580026037,"ישיבת ישמח משה ושבות יהודה (ע""ר)","מנב""ס",ירושלים,הקבלן,34,,9387434,,מאושר,1/5/2005
990076852,520013053,"מכון בית יעקב למורות (חל""צ)","מנב""ס",ירושלים             ,מנחת יצחק,21,511,9100401,,מותלה חוב,NULL
990076882,0,,"מנב""ס",,,,,,,מותלה חוב,NULL
990076899,0,,"מנב""ס",,,,,,,מותלה חוב,NULL
990076981,580121655,תורת חסד ביהוד,"מנב""ס",אור יהודה           ,שפרינצק,1,421,6025401,,מותלה חוב,NULL
990076998,0,,"מנב""ס",,,,,,,מאושר,1/5/2005
990077049,580199784,עטרת רחל ,"מנב""ס",ירושלים             ,אבן שפרוט,3,,9247803,,מותלה חוב,NULL
990077086,580247286,הישיבה לצעירים באר שבע ,"מנב""ס",באר שבע             ,דוד אלעזר,4,,8450904,,מאושר,1/5/2005
990077093,580033173,בית מדרש גבוה לתורה ישיבת בית רבי שמעיה,"מנב""ס",בני ברק             ,שרת 13-15,,,,,מאושר,1/5/2005
990077101,0,,"מנב""ס",,,,,,,מאושר,1/5/2005
990077118,520037094,"מרכז רפואי תל-אביב ע""ש אליאס סוראסקי",מכון הרנטגן,תל אביב - יפו,ויצמן,6,,6423906,,מאושר,1/5/2005
990077132,580022820,המכללה למינהל מיסודה של הסתדרות הפקידים,מתעניינים בלימודי תעודה,באר שבע,"הפלמ""ח",127,0,8422432,,מאושר,1/5/2005
990077148,513923417,"ספוט תקשורת ואסטרטגיה בע""מ",מאגר עוסקים בתחום המדיה,רמת גן,בצלאל,4,,5252104,,מאושר,1/5/2005
990077155,500100904,משרד הבריאות/המשרד הראשי,נתונים על כח אדם המועסק בנפה,ירושלים             ,ירמיהו,39,,9446724,,מאושר,1/5/2005
990077162,500100904,משרד הבריאות/המשרד הראשי,מחלות מחייבות הודעה,ירושלים             ,ירמיהו,39,,9446724,,מאושר,1/5/2005
990077178,61199,שירותי בריאות כללית,מחלקת פזיוטרפיה,תל אביב - יפו       ,ארלוזורוב,115,16250,6209813,,מאושר,1/5/2005
990077185,61199,שירותי בריאות כללית,מחלקת פזיוטרפיה,תל אביב - יפו       ,ארלוזורוב,115,16250,6209813,,מאושר,1/5/2005
990077192,61199,שירותי בריאות כללית,משרד מרפאת אורות,תל אביב - יפו       ,ארלוזורוב,115,16250,6209813,,מאושר,1/5/2005
990077200,61199,שירותי בריאות כללית,משרד מרפאת זכרון-דרום,תל אביב - יפו       ,ארלוזורוב,115,16250,6209813,,מאושר,1/5/2005
990077217,61199,שירותי בריאות כללית,מחלקת פזיוטרפיה,תל אביב - יפו       ,ארלוזורוב,115,16250,6209813,,מאושר,1/5/2005
990077224,61199,שירותי בריאות כללית,מחלקת פזיוטרפיה,תל אביב - יפו       ,ארלוזורוב,115,16250,6209813,,מאושר,1/5/2005
990077231,61199,שירותי בריאות כללית,מחלקת פזיוטרפיה,תל אביב - יפו       ,ארלוזורוב,115,16250,6209813,,מאושר,1/5/2005
990077247,500100904,משרד הבריאות/המשרד הראשי,קובץ מטופלי התחנה,ירושלים             ,ירמיהו,39,,9446724,,מאושר,1/5/2005
990077254,500800305,"בית חולים ע""ש אידית וולפסון","מאושפזי ביה""ח",חולון,הלוחמים,62,,5822012,,מאושר,1/5/2005
990077261,500800305,"בית חולים ע""ש אידית וולפסון",נתוני חולים,חולון,הלוחמים,62,,5822012,,מאושר,1/5/2005
990077277,500800305,"בית חולים ע""ש אידית וולפסון","מאגר תוצאות, מעבדה אנדוקרינית",חולון,הלוחמים,62,,5822012,,מאושר,1/5/2005
990077284,500800305,"בית חולים ע""ש אידית וולפסון",נתוני המכון הפתולוגי,חולון,הלוחמים,62,,5822012,,מאושר,1/5/2005
990077316,510755804,"חטיבת הטכנולוגיה של מזרחי טפחות בע""מ","חטיבת הטכנולוגיה של מזרחי טפחות בע""מ.",תל-אביב,לינקולן,15,0,6713407,,מאושר,1/5/2005
990077323,520000522,בנק מזרחי טפחות בעמ,לקוחות,רמת השרון           ,סוקולוב,67,,4723627,,מאושר,1/5/2005
990077330,513026484,"אקסלנס נשואה גמל ופנסיה בע""מ",עמיתי אורית קופת תגמולים לעצמאים,פתח תקווה           ,אפעל,25,,4951125,כן,מאושר,1/5/2005
990077346,513026484,"אקסלנס נשואה גמל ופנסיה בע""מ",קופה מרכזית לפיצויים אקסלנס,פתח תקווה           ,אפעל,25,,4951125,כן,מאושר,1/5/2005
990077353,513026484,"אקסלנס נשואה גמל ופנסיה בע""מ",עמיתי חיננית קופת תגמולים,פתח תקווה           ,אפעל,25,,4951125,כן,מאושר,1/5/2005
990077360,513026484,"אקסלנס נשואה גמל ופנסיה בע""מ",השתלמות המסלולית אקסלנס השתלמות פלטינום,פתח תקווה           ,אפעל,25,,4951125,כן,מאושר,1/5/2005
990077383,513026484,"אקסלנס נשואה גמל ופנסיה בע""מ",קופת הגמל אקסלנס גמולה מבטיחת תשואה,פתח תקווה           ,אפעל,25,,4951125,כן,מאושר,1/5/2005
990077408,513026484,"אקסלנס נשואה גמל ופנסיה בע""מ",עמיתי יסודות קופת תגמולים מרכזית,פתח תקווה           ,אפעל,25,,4951125,כן,מאושר,1/5/2005
990077415,513026484,"אקסלנס נשואה גמל ופנסיה בע""מ",עמיתי ליאור קופת תגמולים מרכזית,פתח תקווה           ,אפעל,25,,4951125,כן,מאושר,1/5/2005
990077422,513026484,"אקסלנס נשואה גמל ופנסיה בע""מ",עמיתי מענק קופה לפיתויי פיטורין,פתח תקווה           ,אפעל,25,,4951125,כן,מאושר,1/5/2005
990077445,513026484,"אקסלנס נשואה גמל ופנסיה בע""מ",קופת הגמל המסלולית אקסלנס גמל פלטינום,פתח תקווה           ,אפעל,25,,4951125,כן,מאושר,1/5/2005
990077452,513026484,"אקסלנס נשואה גמל ופנסיה בע""מ",עמיתי שומרון קופה לתגמולים ולפיצויים,פתח תקווה           ,אפעל,25,,4951125,כן,מאושר,1/5/2005
990077469,513026484,"אקסלנס נשואה גמל ופנסיה בע""מ",עמיתי אמנה קופת תגמולים מרכזית,פתח תקווה           ,אפעל,25,,4951125,כן,מאושר,1/5/2005
990077475,513026484,"אקסלנס נשואה גמל ופנסיה בע""מ",עמיתי תפארת קופת תגמולים מרכזית,פתח תקווה           ,אפעל,25,,4951125,כן,מאושר,1/5/2005
990077499,510435787,ה.שטרן ישראל תכשיטים ואבני חן בעמ,לקוחות,יהוד-מונוסון,,,56450,5645001,,מאושר,1/5/2005
990077507,500269006,עירית כפר סבא,היחידה לקידום נוער,כפר סבא,ויצמן,135,,4423142,,מאושר,1/5/2005
990077514,520037565,דנאל אדיר יהושע בעמ,מאגר עובדים לצורך השמה מקצועית,רמת גן,דרך אבא הלל,12,0,5250606,,מאושר,1/5/2005
990077521,520000522,בנק מזרחי טפחות בעמ,עובדים,רמת השרון           ,סוקולוב,67,,4723627,,מאושר,1/5/2005
990077551,510874266,"אתגר חברה לניהול תיקי השקעות מקבוצת מזרחי טפחות בע""מ",לקוחות,תל אביב - יפו,אלנבי,105,,6513444,,מאושר,1/5/2005
990077568,580408037,"עצה - המרכז הישראלי לעזרה עצמית והדדית (ע""ר)",מאגר מידע לעזרה עצמית בתוכנת ספיר,פתח תקווה,לוחמי הגיטו,34,,4965140,,מאושר,1/5/2005
990077574,514757319,"ג'י סנטר החברה לאוטומציה בע""מ",שכר עובדים,פתח תקווה,דיין משה,4,,4951804,,מותלה חוב,NULL
990077581,514757319,"ג'י סנטר החברה לאוטומציה בע""מ",רישום וניהול נכסים ומשלמים,פתח תקווה,דיין משה,4,,4951804,,מותלה חוב,NULL
990077598,500226006,עירית אילת,קשר עם התושב,אילת,,,14,8810001,,מאושר,1/5/2005
990077613,500226006,עירית אילת,מימד-מערכת מידע דמוגרפי,אילת,,,14,8810001,,מאושר,1/5/2005
990077643,580255891,עמותת בית אבות אשדוד,עמותת בית אבות,אשדוד               ,הרב ניסים,7,,7762307,,מאושר,1/5/2005
990077650,540185238,אחוזת ראשונים-רובינשטיין,אחוזת ראשונים,ראשון לציון         ,הנחשול,30,0,7543730,,מאושר,1/5/2005
990077667,512481557,"מונדקס ישראל בע""מ",בתי עסק,ראשון לציון,,,5193,7515101,,מאושר,1/5/2005
990077673,500290002,עירית באר שבע,מרשם האוכלוסין,באר שבע             ,כיכר מנחם בגין,1,,,,מאושר,1/5/2005
990077680,500107057,משרד הבריאות/מרכז רפואי אסף הרופא,סיכומי מחלה-מחלקה נורולוגית,באר יעקב,,,,7030000,,מאושר,1/5/2005
990077697,500107057,משרד הבריאות/מרכז רפואי אסף הרופא,",IVFמרפאה לפוריות הגבר ובנק הזרע",באר יעקב,,,,7030000,,מאושר,1/5/2005
990077705,61199,שירותי בריאות כללית,תוצאות בדיקות מעבדה,תל אביב - יפו       ,ארלוזורוב,115,16250,6209813,,מאושר,1/5/2005
990077712,61199,שירותי בריאות כללית,תוצאות בדיקות מעבדה,תל אביב - יפו       ,ארלוזורוב,115,16250,6209813,,מאושר,1/5/2005
990077729,61199,שירותי בריאות כללית,תוצאות בדיקות מעבדה,תל אביב - יפו       ,ארלוזורוב,115,16250,6209813,,מאושר,1/5/2005
990077736,61199,שירותי בריאות כללית,תוצאות בדיקות מעבדה,תל אביב - יפו       ,ארלוזורוב,115,16250,6209813,,מאושר,1/5/2005
990077742,61199,שירותי בריאות כללית,תוצאות בדיקות מעבדה,תל אביב - יפו       ,ארלוזורוב,115,16250,6209813,,מאושר,1/5/2005
990077759,61199,שירותי בריאות כללית,תוכנת ניהול משרד,תל אביב - יפו       ,ארלוזורוב,115,16250,6209813,,מאושר,1/5/2005
990077766,512434481,"מערכות תקשורת חדשה בדואר אלקטרוני בע""מ",דאר אלקטרוני,הרצליה              ,הגלים,41,3164,4613101,,מותלה חוב,NULL
990077772,500107057,משרד הבריאות/מרכז רפואי אסף הרופא,מעקב חולים עם פרפור פרזדירים,באר יעקב,,,,7030000,,מאושר,1/5/2005
990077789,500107057,משרד הבריאות/מרכז רפואי אסף הרופא,הנהלת חשבונות,באר יעקב,,,,7030000,,מאושר,1/5/2005
990077796,500107057,משרד הבריאות/מרכז רפואי אסף הרופא,חשבונות קופות חולים,באר יעקב,,,,7030000,,מאושר,1/5/2005
990077804,500107057,משרד הבריאות/מרכז רפואי אסף הרופא,משכורות,באר יעקב,,,,7030000,,מאושר,1/5/2005
990077865,580021673,"צעירי אגודת חב""ד - המרכז","צעירי חב""ד","כפר חב""ד            ",,,14,6084000,,מותלה חוב,NULL
990077871,513591222,"המסלול האקדמי המכללה למינהל מיסודה של הסתדרות הפקידים בתל אביב חברה לתועלת הציבור בע""מ (חל""צ)",אלף,ראשון לציון,שד יצחק רבין,7,,7549071,,מאושר,1/5/2005
990077888,513591222,"המסלול האקדמי המכללה למינהל מיסודה של הסתדרות הפקידים בתל אביב חברה לתועלת הציבור בע""מ (חל""צ)",מנהל הסגל,ראשון לציון,שד יצחק רבין,7,,7549071,,מאושר,1/5/2005
990077895,580022820,המכללה למינהל מיסודה של הסתדרות הפקידים,שכר עובדים זמניים,באר שבע,"הפלמ""ח",127,0,8422432,,מאושר,1/5/2005
990077903,513591222,"המסלול האקדמי המכללה למינהל מיסודה של הסתדרות הפקידים בתל אביב חברה לתועלת הציבור בע""מ (חל""צ)",משובים,ראשון לציון,שד יצחק רבין,7,,7549071,,מאושר,1/5/2005
990077910,513591222,"המסלול האקדמי המכללה למינהל מיסודה של הסתדרות הפקידים בתל אביב חברה לתועלת הציבור בע""מ (חל""צ)",מערכת רישום שיחות,ראשון לציון,שד יצחק רבין,7,,7549071,,מאושר,1/5/2005
990077927,500106968,"משרד הבריאות/בי""ח פרדס חנה",מעבדה-תוצאות בדיקות,פרדס חנה-כרכור,הנדיב,.,,3707100,,מאושר,1/5/2005
990077934,500106968,"משרד הבריאות/בי""ח פרדס חנה",נוכחות - רישום שעות,פרדס חנה-כרכור,הנדיב,.,,3707100,,מאושר,1/5/2005
990077940,500106968,"משרד הבריאות/בי""ח פרדס חנה",ניהול מאגר אחיות,פרדס חנה-כרכור,הנדיב,.,,3707100,,מאושר,1/5/2005
990077957,500106968,"משרד הבריאות/בי""ח פרדס חנה",הפקת משכורות,פרדס חנה-כרכור,הנדיב,.,,3707100,,מאושר,1/5/2005
990077964,500106968,"משרד הבריאות/בי""ח פרדס חנה",סיכומי מחלה-דלפק רשומות רפואיות,פרדס חנה-כרכור,הנדיב,.,,3707100,,מאושר,1/5/2005
990077970,500106968,"משרד הבריאות/בי""ח פרדס חנה",תכתובת מחלקתית-כח אדם,פרדס חנה-כרכור,הנדיב,.,,3707100,,מאושר,1/5/2005
990077987,500106968,"משרד הבריאות/בי""ח פרדס חנה",סיכומי מחלה- מח'' פנימית,פרדס חנה-כרכור,הנדיב,.,,3707100,,מאושר,1/5/2005
990077994,500106968,"משרד הבריאות/בי""ח פרדס חנה",תכתובת מחלקתית-אחות ראשית,פרדס חנה-כרכור,הנדיב,.,,3707100,,מאושר,1/5/2005
990078009,500104583,משרד המשפטים/אגף האפוטרופוס הכללי,המרשם הארצי (הפקדת צוואות),ירושלים,צלאח אל דין,29,,9711052,,מאושר,1/5/2005
990078016,570000745,תנובה מרכז שיתופי לשיווק תוצרת חקלאית בי,מאגר הספקים והיצרנים,רמת השרון           ,,.,33,,,מאושר,1/5/2005
990078023,570000745,תנובה מרכז שיתופי לשיווק תוצרת חקלאית בי,מאגר לקוחות תנובה,רמת השרון           ,,.,33,,,מאושר,1/5/2005
990078053,580268464,מ.ט.י. חולון - מרכז לטפוח יזמות עסקית,מערכת ניהול מידע לקוחות,חולון               ,חנקין,109,,5839436,כן,מאושר,1/5/2005
990078060,580025765,"אלומה - למעורבות חברתית - לזהות יהודית (ע""ר)",ללא שם,ירושלים,גואטמאלה,22,,9670539,,מותלה חוב,NULL
990078076,500100904,משרד הבריאות/המשרד הראשי,מאגר פטירות,ירושלים             ,ירמיהו,39,,9446724,,מאושר,1/5/2005
990078090,511164949,"איי. אר. טי. טכנולוגיות זיהוי מתקדמות בע""מ","אי.אר.טי .טכנולוגיות בע""מ+הנה""ח",בני ברק             ,הירקון,39,,5120430,,מאושר,1/5/2005
990078122,511717118,"ת.ג. מכונים ביוטכנולוגיים בע""מ","משכורות עובדים+הנה""ח",מעלה אדומים         ,השקמה,5,,9853205,,מותלה חוב,NULL
990078145,500212964,מ. מ. כסרא סמיע,"משכורות עובדים+הנה""ח",כפר כסרא,,,396,,,מאושר,1/5/2005
990078175,512237140,"אופטיטסק בע""מ","משכורות עובדים+הנה""ח",נתניה               ,נר הלילה,13,,4220913,,מותלה חוב,NULL
990078182,511203895,"סיני-יקב סוכנות לביטוח בע""מ",הנהלת חשבונות,פתח תקווה,הסיבים,13,7073,4917001,,מותלה חוב,NULL
990078207,580057321,"ויצו - הסתדרות עולמית לנשים ציוניות (ע""ר)",מערכת לגביית תשלומי הורים במעונות יום,תל אביב,שד' דוד המלך,38,0,6423711,,מאושר,1/5/2005
990078214,500225008,עירית נשר,כח אדם-מערכת מנכולית,נשר,דרך בר יהודה,70,,3665104,,מותלה חוב,NULL
990078221,500225008,עירית נשר,שכר-מערכת משכורית,נשר,דרך בר יהודה,70,,3665104,,מותלה חוב,NULL
990078238,500225008,עירית נשר,הנהלת חשבונות,נשר,דרך בר יהודה,70,,3665104,,מותלה חוב,NULL
990078244,589922772,ארגון המורים,חברי ארגון המורים העל יסודיים,חיפה                ,דרך יפו,157,,3525126,כן,מאושר,1/5/2005
990078251,520029281,בנק מרכנתיל דיסקונט בעמ,מערך הגבייה,תל אביב - יפו,דרך בגין,125,,6701201,,מאושר,1/5/2005
990078281,500287008,עירית רעננה,היחידה לקידום נוער,רעננה,,,24,4310001,,מאושר,1/5/2005
990078298,61199,שירותי בריאות כללית,זימון תורים והתכתבויות-מרפאת ברזיל )1(,תל אביב - יפו       ,ארלוזורוב,115,16250,6209813,,מאושר,1/5/2005
990078306,61199,שירותי בריאות כללית,תורים והתכתבויות-מרפאת ברזיל )2( - שיקום,תל אביב - יפו       ,ארלוזורוב,115,16250,6209813,,מאושר,1/5/2005
990078313,61199,שירותי בריאות כללית,זימון תורים והתכתבויות-מרפאת משמר העם,תל אביב - יפו       ,ארלוזורוב,115,16250,6209813,,מאושר,1/5/2005
990078320,61199,שירותי בריאות כללית,משרד קבלת חולים,תל אביב - יפו       ,ארלוזורוב,115,16250,6209813,,מאושר,1/5/2005
990078350,511078230,"י.א.מ.י. לורית ניהול בע""מ","חשבים ניהול ויעוץ לשכר בע""מ",תל אביב,תל אביב,9,57261,0,,מותלה חוב,NULL
990078367,500250006,עירית תל-אביב-יפו,פרמיות לעובדי תברואה,תל אביב,אבן גבירול,69,,6416201,,מאושר,1/5/2005
990078373,500250006,עירית תל-אביב-יפו,ניהול חוזים-אגף תברואה,תל אביב,אבן גבירול,69,,6416201,,מאושר,1/5/2005
990078397,500205109,מ. מ. כפר מנדא,מרשם האוכלוסין,כפר מנדא,כפר מנדא,,1089,17907,,מותלה חוב,NULL
990078405,500286000,עירית רמת גן,מטופלים בשירות הפסיכולוגי חינוכי,רמת גן,ביאליק,35,,5246103,,מאושר,1/5/2005
990078412,500286000,עירית רמת גן,מסמכי השירות הפסיכולוגי חינוכי,רמת גן,ביאליק,35,,5246103,,מאושר,1/5/2005
990078429,500269006,עירית כפר סבא,מערכת רישוי בניה,כפר סבא,ויצמן,135,,4423142,,מאושר,1/5/2005
990078442,580005114,ההתאחדות הישראלית לצלילה,ההתאחדות הישראלית לצלילה,תל אביב - יפו,,,22421,61223,,מאושר,1/5/2005
990078459,500102769,משרד התחבורה/אגף הרישוי,מאגר תמונות נהגים,ירושלים,יפו,79,,9434211,,מאושר,1/5/2005
990078466,500200316,עירית אופקים,"מערכת מידע דמוגרפי - ממ""ד",אופקים,,,1,8751001,,מותלה חוב,NULL
990078472,520029281,בנק מרכנתיל דיסקונט בעמ,משכורות עובדים,תל אביב - יפו,דרך בגין,125,,6701201,,מאושר,1/5/2005
990078489,500223086,מ. א. הגלבוע,מחלקת רווחה,בית שאן,בית שאן, ,,,,מאושר,1/5/2005
990078496,520042086,"פז - גיל בע""מ",דיור מוגן לאוכלוסיה מבוגרת,כפר סבא,גבורות,1,,4420950,,מאושר,1/5/2005
990078511,500107057,משרד הבריאות/מרכז רפואי אסף הרופא,מעקב אחר תביעות משפטיות,באר יעקב,,,,7030000,,מאושר,1/5/2005
990078528,513777813,"ישפאר מוצרי צריכה בע""מ",רשימת לקוחות,הרצליה,ספיר,7,,4685211,,מאושר,1/5/2005
990078535,512481557,"מונדקס ישראל בע""מ",צרכנים-רשימת לקוחות,ראשון לציון,,,5193,7515101,,מאושר,1/5/2005
990078541,512350745,"נטסקול בע""מ",לקוחות המנויים,הרצליה,,,12474,4673315,,מאושר,1/5/2005
990078558,520037730,"אקסלנס נשואה ניהול השקעות בע""מ",תיקי לקוחות,רמת גן,ז'בוטינסקי,7,0,5252007,,מאושר,1/5/2005
990078565,500102389,משרד העבודה/האגף לתעסוקה ומעמד,מערכת ההשמה,ירושלים,קפלן,2,,9195016,,מאושר,1/5/2005
990078588,500226204,עירית קרית אונו,שכר וכח אדם,קריית אונו          ,רבין יצחק,41,,5551042,,מאושר,NULL
990078595,500226204,עירית קרית אונו,גביה,קריית אונו          ,רבין יצחק,41,,5551042,,מאושר,NULL
990078603,500226204,עירית קרית אונו,חינוך,קריית אונו          ,רבין יצחק,41,,5551042,,מאושר,NULL
990078610,500226204,עירית קרית אונו,שכר והנהלת חשבונות,קריית אונו          ,רבין יצחק,41,,5551042,,מאושר,NULL
990078627,500286000,עירית רמת גן,מקומות חניה לנכים,רמת גן,ביאליק,35,,5246103,,מאושר,1/5/2005
990078634,500285002,עירית רמלה,תוכנת מוקד עירוני,רמלה,,,1,7210001,,מאושר,1/5/2005
990078640,500285002,עירית רמלה,כח אדם,רמלה,,,1,7210001,,מאושר,1/5/2005
990078657,500285002,עירית רמלה,גבייה,רמלה,,,1,7210001,,מאושר,1/5/2005
990078664,500285002,עירית רמלה,גזברות,רמלה,,,1,7210001,,מאושר,1/5/2005
990078670,500285002,עירית רמלה,הנהלת חשבונות-שכר עובדים זמניים,רמלה,,,1,7210001,,מאושר,1/5/2005
990078687,500285002,עירית רמלה,חניה,רמלה,,,1,7210001,,מאושר,1/5/2005
990078694,500285002,עירית רמלה,"מח""ר 2000גני ילדים",רמלה,,,1,7210001,,מאושר,1/5/2005
990078702,500285002,עירית רמלה,רישוי ופיקוח בניה,רמלה,,,1,7210001,,מאושר,1/5/2005
990078719,500285002,עירית רמלה,"מעקב תב""ע",רמלה,,,1,7210001,,מאושר,1/5/2005
990078726,500800230,בית חולים ממשלתי שער מנשה,מאושפזים עם מצוקה נפשית,שער מנשה            ,,,,3780600,,מאושר,1/5/2005
990078733,500201660,מ. מ. גן יבנה,חינוך-מזכירות,גן יבנה,,,45,7085001,,מאושר,1/5/2005
990078749,500103262,מבקר המדינה/המשרד הראשי,כח אדם/שכר,ירושלים,משה פשיגודא,,1081,9101001,,מאושר,1/5/2005
990078756,500201660,מ. מ. גן יבנה,רווחה,גן יבנה,,,45,7085001,,מאושר,1/5/2005
990078763,513591222,"המסלול האקדמי המכללה למינהל מיסודה של הסתדרות הפקידים בתל אביב חברה לתועלת הציבור בע""מ (חל""צ)",הכוון תעסוקתי,ראשון לציון,שד יצחק רבין,7,,7549071,,מאושר,1/5/2005
990078779,580057321,"ויצו - הסתדרות עולמית לנשים ציוניות (ע""ר)",פרטי חברות,תל אביב,שד' דוד המלך,38,0,6423711,,מאושר,1/5/2005
990078786,580082915,"מקור חיים - מוסדות חינוך להפצת התורה בראשות הרב עדין שטיינזלץ שליט""א","נתוני גביית שכ""ל והעברת תשלומים לספקים",כפר עציון           ,ד.נ. צפון יהודה,,,9091200,,מותלה חוב,NULL
990078793,61199,שירותי בריאות כללית,מרפאת מ .העמק,תל אביב - יפו       ,ארלוזורוב,115,16250,6209813,,מאושר,1/5/2005
990078801,61199,שירותי בריאות כללית,מכון הרנטגן-מרפ' שדרות,תל אביב - יפו       ,ארלוזורוב,115,16250,6209813,,מאושר,1/5/2005
990078818,61199,שירותי בריאות כללית,מכון הרנטגן-מחוזי ג',תל אביב - יפו       ,ארלוזורוב,115,16250,6209813,,מאושר,1/5/2005
990078825,61199,שירותי בריאות כללית,מכון הרנטגן-ק.גת,תל אביב - יפו       ,ארלוזורוב,115,16250,6209813,,מאושר,1/5/2005
990078832,61199,שירותי בריאות כללית,מכון הרנטגן-מרפ' ערד,תל אביב - יפו       ,ארלוזורוב,115,16250,6209813,,מאושר,1/5/2005
990078848,61199,שירותי בריאות כללית,מכון הרנטגן-מרפ' דימונה ב',תל אביב - יפו       ,ארלוזורוב,115,16250,6209813,,מאושר,1/5/2005
990078855,61199,שירותי בריאות כללית,מכון הרנטגן-מרפ' רהט,תל אביב - יפו       ,ארלוזורוב,115,16250,6209813,,מאושר,1/5/2005
990078862,61199,שירותי בריאות כללית,מטופלי מכון רנטגן-רמז,תל אביב - יפו       ,ארלוזורוב,115,16250,6209813,,מאושר,1/5/2005
990078878,61199,שירותי בריאות כללית,מטופלי מכון רנטגן-רמלה מרכז,תל אביב - יפו       ,ארלוזורוב,115,16250,6209813,,מאושר,1/5/2005
990078885,61199,שירותי בריאות כללית,מטופלי מכון רנטגן-פינסקר,תל אביב - יפו       ,ארלוזורוב,115,16250,6209813,,מאושר,1/5/2005
990078892,61199,שירותי בריאות כללית,מטופלי מכון רנטגן-אשדוד,תל אביב - יפו       ,ארלוזורוב,115,16250,6209813,,מאושר,1/5/2005
990078900,61199,שירותי בריאות כללית,"מבוטחים/המטופלים בביה""ח קפלן",תל אביב - יפו       ,ארלוזורוב,115,16250,6209813,,מאושר,1/5/2005
990078917,61199,שירותי בריאות כללית,מצהירי עזיבה לקופות אחרות,תל אביב - יפו       ,ארלוזורוב,115,16250,6209813,,מאושר,1/5/2005
990078924,61199,שירותי בריאות כללית,מצטרפים חדשים לקופה,תל אביב - יפו       ,ארלוזורוב,115,16250,6209813,,מאושר,1/5/2005
990078931,61199,שירותי בריאות כללית,פניות הציבור,תל אביב - יפו       ,ארלוזורוב,115,16250,6209813,,מאושר,1/5/2005
990078954,61199,שירותי בריאות כללית,סיכומי מחלה-דוחות רפואיים,תל אביב - יפו       ,ארלוזורוב,115,16250,6209813,,מאושר,1/5/2005
990078961,61199,שירותי בריאות כללית,סיכומי מחלה-מרפ' פסיכוגריאטרית,תל אביב - יפו       ,ארלוזורוב,115,16250,6209813,,מאושר,1/5/2005
990078977,61199,שירותי בריאות כללית,נתוני חולי בקרה,תל אביב - יפו       ,ארלוזורוב,115,16250,6209813,,מאושר,1/5/2005
990078991,61199,שירותי בריאות כללית,תאונות דרכים,תל אביב - יפו       ,ארלוזורוב,115,16250,6209813,,מאושר,1/5/2005
990079006,61199,שירותי בריאות כללית,תאונות עבודה,תל אביב - יפו       ,ארלוזורוב,115,16250,6209813,,מאושר,1/5/2005
990079013,61199,שירותי בריאות כללית,תוצאות בדיקות מעבדה,תל אביב - יפו       ,ארלוזורוב,115,16250,6209813,,מאושר,1/5/2005
990079020,61199,שירותי בריאות כללית,תוצאות בדיקות מעבדה,תל אביב - יפו       ,ארלוזורוב,115,16250,6209813,,מאושר,1/5/2005
990079037,61199,שירותי בריאות כללית,תוצאות בדיקות מעבדה,תל אביב - יפו       ,ארלוזורוב,115,16250,6209813,,מאושר,1/5/2005
990079043,61199,שירותי בריאות כללית,תוצאות בדיקות מעבדה,תל אביב - יפו       ,ארלוזורוב,115,16250,6209813,,מאושר,1/5/2005
990079050,61199,שירותי בריאות כללית,תוצאות בדיקות מעבדה,תל אביב - יפו       ,ארלוזורוב,115,16250,6209813,,מאושר,1/5/2005
990079067,61199,שירותי בריאות כללית,תוצאות בדיקות מעבדה,תל אביב - יפו       ,ארלוזורוב,115,16250,6209813,,מאושר,1/5/2005
990079073,61199,שירותי בריאות כללית,תוצאות בדיקות מעבדה,תל אביב - יפו       ,ארלוזורוב,115,16250,6209813,,מאושר,1/5/2005
990079080,61199,שירותי בריאות כללית,תוצאות בדיקות מעבדה,תל אביב - יפו       ,ארלוזורוב,115,16250,6209813,,מאושר,1/5/2005
990079097,61199,שירותי בריאות כללית,תוצאות בדיקות מעבדה,תל אביב - יפו       ,ארלוזורוב,115,16250,6209813,,מאושר,1/5/2005
990079112,500102389,משרד העבודה/האגף לתעסוקה ומעמד,"מערכת מח""ש-מדורי התשלומים",ירושלים,קפלן,2,,9195016,,מאושר,1/5/2005
990079129,61199,שירותי בריאות כללית,חיובים ספקים פרטיים,תל אביב - יפו       ,ארלוזורוב,115,16250,6209813,,מאושר,1/5/2005
990079136,61199,שירותי בריאות כללית,חיובים ספקים פרטיים,תל אביב - יפו       ,ארלוזורוב,115,16250,6209813,,מאושר,1/5/2005
